_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
637444a19500f305f264b4d6||80.39|96.54|83.99|73.46|402,5,0,2|time|60||1|60.01|0|0.41|false|false|english|none|normal|false|false|false||1668564129072
6373b91ea027586892f94b5c||81.2|95.16|85.2|80.07|406,6,3,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1668528414000
6373b763a027586892f46adc||80.39|95.45|86.99|79.98|402,9,0,1|time|60|-1|1|60.01|0|6.64|false|false|english|none|normal|false|false|false||1668527971000
63730f6e31bc82843013e46e||75|94.89|79.8|76.04|375,4,3,0|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1668484974000
6371ff6e31bc828430954254||76.39|94|80.59|71.06|382,7,2,0|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1668415342000
6371c66731bc828430477a52||79|94.05|83.8|76.08|395,6,3,0|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1668400743000
63712a0d31bc82843071aa1e||72.39|93.2|81.19|80.2|362,15,0,5|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1668360717000
6371208131bc8284306311ab||83.39|98.15|85.79|78.22|417,3,0,0|time|60|-1|2|60.01|0|16.08|false|false|english|none|normal|false|false|false||1668358273000
636f9cef31bc8284304d63d5||81.59|94.56|87.19|82.29|408,9,5,0|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1668259055000
636f2b6731bc828430adac31||75.79|94.08|80.99|76.79|379,6,3,0|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1668229991000
636e79e831bc828430bb1ac8||77.59|93.74|84.59|78.21|388,12,3,1|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1668184552000
